project,site,geom,longitude,latitude
NT Bushfires - Kimberley,S_k_253,POINT (127.00318671991617 -15.981856433084245),127.0032,-15.9819
NT Bushfires - Kimberley,S_k_254,POINT (126.77856102461317 -15.991164602945334),126.7786,-15.9912
NT Bushfires - Kimberley,S_k_255,POINT (127.223854878477 -16.22236199913207),127.2239,-16.2224
NT Bushfires - Kimberley,S_k_256,POINT (127.22680369448742 -16.219960518580574),127.2268,-16.22
NT Bushfires - Kimberley,S_k_257,POINT (127.22908030727349 -16.21957187765969),127.2291,-16.2196
NT Bushfires - Kimberley,S_k_258,POINT (127.27113925443963 -16.05755650307131),127.2711,-16.0576
NT Bushfires - Kimberley,S_k_259,POINT (127.24494937964104 -15.926417223638555),127.2449,-15.9264
NT Bushfires - Kimberley,S_k_260,POINT (127.83461805263829 -15.691731703024402),127.8346,-15.6917
NT Bushfires - Kimberley,S_k_261,POINT (127.77165565826238 -15.770267031470738),127.7717,-15.7703
NT Bushfires - Kimberley,S_k_262,POINT (127.82681618224397 -15.627875938463353),127.8268,-15.6279
NT Bushfires - Kimberley,S_k_263,POINT (127.27660937432282 -16.065844615219362),127.2766,-16.0658
NT Bushfires - Kimberley,S_k_264,POINT (127.24517282271354 -15.942098470912113),127.2452,-15.9421
NT Bushfires - Kimberley,S_k_265,POINT (127.2533162643188 -15.956716428276494),127.2533,-15.9567
NT Bushfires - Three parks,S_k_266,POINT (132.1934849999546 -12.908368999987912),132.1935,-12.9084
NT Bushfires - Three parks,S_k_267,POINT (132.25927799994585 -13.491829999983937),132.2593,-13.4918
NT Bushfires - Three parks,S_k_268,POINT (132.5701599999382 -12.931500000021428),132.5702,-12.9315
NT Bushfires - Three parks,S_k_269,POINT (132.38031099993938 -13.62237699998916),132.3803,-13.6224
NT Bushfires - Three parks,S_k_270,POINT (132.76457899993187 -12.88187299998662),132.7646,-12.8819
NT Bushfires - Three parks,S_k_271,POINT (132.91214999993198 -12.414990000016289),132.9121,-12.415
NT Bushfires - Three parks,S_k_272,POINT (132.95356699992897 -12.517456000006796),132.9536,-12.5175
NT Bushfires - Three parks,S_k_273,POINT (132.21152999995726 -12.519260999991815),132.2115,-12.5193
NT Bushfires - Three parks,S_k_274,POINT (132.84057699993426 -12.344460000018925),132.8406,-12.3445
NT Bushfires - Three parks,S_k_275,POINT (132.87474999992872 -12.618919999990213),132.8747,-12.6189
